entity_id,event_type,event,time,resource_id,value,fuel_level_start,fuel_level_end
StationTank,fuel_level_change,fuel_level_change,6373.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6374.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6375.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6376.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6377.0,,399.0,,
Car 125,arrival_departure,arrival,6378.0,,,,
Car 125,queue,pump_queue_wait_begins,6378.0,,,7.0,50.0
StationTank,fuel_level_change,fuel_level_change,6378.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6379.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6380.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6381.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6382.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6383.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6384.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6385.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6386.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6387.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6388.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6389.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6390.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6391.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6392.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6393.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6394.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6395.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6396.0,,399.0,,
StationTank,fuel_level_change,fuel_level_change,6397.0,,399.0,,
Car 112,resource_use_end,pumping_ends,6398.0,1.0,,7.0,50.0
Car 112,arrival_departure,depart,6398.0,,,,
StationTank,fuel_level_change,fuel_level_change,6398.0,,399.0,,
Car 114,resource_use,payment_begins,6398.0,1.0,,8.0,50.0
StationTank,fuel_level_change,fuel_level_change,6399.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6400.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6401.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6402.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6403.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6404.0,,357.0,,
Car 126,arrival_departure,arrival,6405.0,,,,
Car 126,queue,pump_queue_wait_begins,6405.0,,,21.0,50.0
StationTank,fuel_level_change,fuel_level_change,6405.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6406.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6407.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6408.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6409.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6410.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6411.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6412.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6413.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6414.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6415.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6416.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6417.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6418.0,,357.0,,
Car 113,resource_use_end,payment_ends,6419.0,2.0,,12.0,50.0
Car 113,resource_use,pumping_begins,6419.0,2.0,,12.0,50.0
StationTank,fuel_level_change,fuel_level_change,6419.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6420.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6421.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6422.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6423.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6424.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6425.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6426.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6427.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6428.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6429.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6430.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6431.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6432.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6433.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6434.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6435.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6436.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6437.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6438.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6439.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6440.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6441.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6442.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6443.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6444.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6445.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6446.0,,357.0,,
Car 127,arrival_departure,arrival,6447.0,,,,
Car 127,queue,pump_queue_wait_begins,6447.0,,,9.0,50.0
StationTank,fuel_level_change,fuel_level_change,6447.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6448.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6449.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6450.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6451.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6452.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6453.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6454.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6455.0,,357.0,,
StationTank,fuel_level_change,fuel_level_change,6456.0,,357.0,,
Car 113,resource_use_end,pumping_ends,6457.0,2.0,,12.0,50.0
Car 113,arrival_departure,depart,6457.0,,,,
StationTank,fuel_level_change,fuel_level_change,6457.0,,357.0,,
Car 115,resource_use,payment_begins,6457.0,2.0,,12.0,50.0
StationTank,fuel_level_change,fuel_level_change,6458.0,,319.0,,
StationTank,fuel_level_change,fuel_level_change,6459.0,,319.0,,
StationTank,fuel_level_change,fuel_level_change,6460.0,,319.0,,
StationTank,fuel_level_change,fuel_level_change,6461.0,,319.0,,
Car 114,resource_use_end,payment_ends,6462.0,1.0,,8.0,50.0
Car 114,resource_use,pumping_begins,6462.0,1.0,,8.0,50.0
